"CourseId"|"CourseName"|"CourseCategoryId"|"CourseTitle"|"CourseDescription"|"CourseCredits"|"CourseReferenceId"
339|"AGRONOMY 400"|400|"Study Abroad in Agronomy"|"Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Current enrollment in a UW-Madison study abroad program"|"1-6"|23295
340|"AGRONOMY 471"|471|"Food Production Systems and Sustainability"|"Delves into aspects of natural sciences (biology and agricultural sciences) and social sciences underpinning the assessment of food production systems as related to a variety of outcomes including but not restricted to human and environmental health, air and water quality, greenhouse gases emission, land use, economic opportunity, social justice, as well as mitigation and adaptation to climate change, locally, regionally, domestically, across continents, and globally. "|"3"|24980
341|"AGRONOMY 500"|500|"Senior Capstone Experience"|"A stepping stone between the classroom and society. Emphasizes discussion and activities for enhancing integration of diverse bodies of knowledge, critical thinking, and effective written and oral communication. "|"2"|22747
342|"AGRONOMY 501"|501|"Principles of Plant Breeding"|"Principles involved in breeding and maintaining economic crops; factors affecting the choice of breeding methods; alternative approaches through hybridization and selection. "|"3"|9946
343|"AGRONOMY 502"|502|"Techniques of Plant Breeding"|"Lab and field techniques used in breeding and maintaining economic crops. "|"1"|690
344|"AGRONOMY 532"|532|"Environmental Biophysics"|"Plant-environment interactions with particular reference to energy exchanges and water relations. Models are used to provide a quantitative synthesis of information from plant physiology, soil physics, and micrometeorology with some consideration of plant-pest interactions. Students should have completed at least one course in Botany, Agronomy, or Plant Sciences to feel comfortable with the course content."|"3"|17821
345|"AGRONOMY 565"|565|"The Ethics of Modern Biotechnology"|"An in-depth study of a selection of ethical issues arising from the application of modern biotechnology to microorganisms, plants, non-human animals, and human beings. We will aim at a discussion that is informed by empirical research and by work done in ethical theory, political philosophy, and other relevant disciplines, and whose character is rigorous, clear, nuanced, and unbiased. "|"3"|21562
346|"AGRONOMY 615"|615|"Genetic Mapping"|"Computing-intensive course to prepare students for genetic mapping research; linkage analysis and QTL mapping in designed crosses; linkage disequilibrium and association analysis (GWAS). Recommended preparation is undergraduate courses in genetics and statistics and prior experience writing R scripts (such as module 1 of STAT 327)."|"3"|25268
347|"AGRONOMY 632"|632|"Ecotoxicology: The Chemical Players"|"Introduction to natural and man-made toxins/toxicants, their distribution, transport, and fate in the environment. "|"1"|22739
348|"AGRONOMY 633"|633|"Ecotoxicology: Impacts on Individuals"|"Addresses absorption, biotransformation, elimination of toxins in a wide variety of taxa (plants, invertebrates, vertebrates). "|"1"|22740
349|"AGRONOMY 634"|634|"Ecotoxicology: Impacts on Populations, Communities and Ecosystems"|"Focuses on the impact of toxicants on populations, communities, ecosystems, and includes risk evaluation. Includes lectures, current research presentations, and discussions. "|"1"|22741
